Time, Tie_Power, L1, L2, L3, L4, Pess, P1, P2, P3, P4
3197.25, 1858.750244140625, 1106.490234375, 1106.1783447265625, 1106.9208984375, 1105.1837158203125, 2024.6131591796875, 1525.426025390625, 1219.7872314453125, 1019.9500122070312, 609.7189331054688
3197.5, 1856.4542236328125, 1106.457275390625, 1106.134765625, 1106.9056396484375, 1105.183837890625, 2022.1759033203125, 1525.0045166015625, 1221.6668701171875, 1018.8189086914062, 611.394775390625
3197.75, 1860.322021484375, 1106.458251953125, 1106.0792236328125, 1106.852783203125, 1105.1822509765625, 2024.0789794921875, 1524.5047607421875, 1220.6075439453125, 1020.020751953125, 612.9871826171875
3198.0, 1864.848388671875, 1106.436767578125, 1106.0926513671875, 1106.873046875, 1105.1719970703125, 2025.2530517578125, 1523.97119140625, 1221.7806396484375, 1018.2919311523438, 611.3700561523438
3198.25, 1855.8778076171875, 1106.46142578125, 1106.16259765625, 1106.9398193359375, 1105.1986083984375, 2023.339599609375, 1522.45263671875, 1218.866455078125, 1019.166259765625, 611.4656982421875
3198.5, 1855.1431884765625, 1106.4544677734375, 1106.11083984375, 1106.8994140625, 1105.2154541015625, 2021.6148681640625, 1521.353759765625, 1220.5338134765625, 1017.7927856445312, 609.85009765625
3198.75, 1851.7637939453125, 1106.4605712890625, 1106.156005859375, 1106.9166259765625, 1105.218994140625, 2021.1461181640625, 1520.658935546875, 1218.4696044921875, 1017.7871704101562, 611.4537963867188
3199.0, 1843.77734375, 1106.427734375, 1106.154541015625, 1106.8717041015625, 1105.1669921875, 2001.005126953125, 1524.593017578125, 1221.0458984375, 1018.4780883789062, 611.5101928710938
3199.25, 1791.1961669921875, 1106.515625, 1106.182373046875, 1106.875, 1105.1939697265625, 1990.2808837890625, 1503.0718994140625, 1205.8502197265625, 1021.2366333007812, 612.2537841796875
3199.5, 1748.1429443359375, 1106.472900390625, 1106.1409912109375, 1106.9498291015625, 1105.200439453125, 1987.669677734375, 1495.0504150390625, 1200.1392822265625, 1002.0049438476562, 602.19921875
3199.75, 1738.7540283203125, 1106.5086669921875, 1106.1669921875, 1106.9959716796875, 1105.2052001953125, 1985.74267578125, 1493.3897705078125, 1198.8599853515625, 997.7210083007812, 601.514404296875
3200.0, 1741.8673095703125, 1106.488525390625, 1106.1319580078125, 1107.0152587890625, 1105.1612548828125, 1987.0606689453125, 1495.9312744140625, 1201.39599609375, 998.3023071289062, 601.5897827148438
3200.25, 1735.7779541015625, 1106.50732421875, 1106.1624755859375, 1107.0322265625, 1105.1927490234375, 1987.0284423828125, 1493.7586669921875, 1199.3653564453125, 996.9824829101562, 599.3057250976562
3200.5, 1738.4765625, 1106.5074462890625, 1106.133056640625, 1107.0643310546875, 1105.1763916015625, 1986.958251953125, 1493.2314453125, 1197.8646240234375, 995.31494140625, 600.0300903320312
3200.75, 1748.9334716796875, 1106.445068359375, 1106.092529296875, 1106.97119140625, 1105.1549072265625, 1988.315673828125, 1493.2252197265625, 1199.517822265625, 997.197021484375, 600.7357177734375
3201.0, 1741.7174072265625, 1106.4727783203125, 1106.1156005859375, 1106.9984130859375, 1105.17578125, 1986.09619140625, 1492.5806884765625, 1198.3946533203125, 996.6917724609375, 600.1455688476562
3201.25, 1736.22705078125, 1106.494873046875, 1106.1435546875, 1107.0726318359375, 1105.1904296875, 1986.7672119140625, 1492.780517578125, 1198.89990234375, 997.3660888671875, 600.5878295898438
3201.5, 1743.0970458984375, 1106.4749755859375, 1106.103759765625, 1107.0008544921875, 1105.164306640625, 1986.881103515625, 1492.8358154296875, 1198.3931884765625, 996.6808471679688, 599.33154296875
3201.75, 1746.104248046875, 1106.449462890625, 1106.0577392578125, 1106.9432373046875, 1105.1519775390625, 1987.3359375, 1492.845703125, 1198.8037109375, 995.5222778320312, 600.295166015625
3202.0, 1747.30810546875, 1106.4453125, 1106.076171875, 1106.9539794921875, 1105.1513671875, 1988.5440673828125, 1495.5101318359375, 1200.0926513671875, 997.3878173828125, 600.0110473632812
3202.25, 1734.8756103515625, 1106.5333251953125, 1106.1412353515625, 1107.0228271484375, 1105.195556640625, 1987.7010498046875, 1493.218017578125, 1199.8963623046875, 997.0401611328125, 601.2276611328125
3202.5, 1735.7681884765625, 1106.48583984375, 1106.1363525390625, 1107.0367431640625, 1105.2021484375, 1986.118408203125, 1492.6474609375, 1199.016845703125, 996.1325073242188, 600.6265258789062
3202.75, 1742.624267578125, 1106.4765625, 1106.1224365234375, 1106.9754638671875, 1105.1671142578125, 1987.30712890625, 1492.9158935546875, 1198.420166015625, 995.255126953125, 599.8734741210938
3203.0, 1736.87158203125, 1106.489013671875, 1106.1351318359375, 1107.01513671875, 1105.1678466796875, 1980.6156005859375, 1496.101318359375, 1201.527587890625, 998.37255859375, 601.685546875
3203.25, 1692.3314208984375, 1106.4764404296875, 1106.1434326171875, 1106.9677734375, 1105.150146484375, 1959.3973388671875, 1479.021728515625, 1186.0880126953125, 994.8486938476562, 599.9864501953125
3203.5, 1633.7628173828125, 1106.5538330078125, 1106.1837158203125, 1107.0113525390625, 1105.192138671875, 1954.8133544921875, 1467.7845458984375, 1176.6046142578125, 980.9576416015625, 589.7394409179688
